DMA_COL,nielsen_abbrev,nielsen_food,iri,tvhh
ABILENE SWEETWATER,RUS,REMAINING US FOOD,RUS,115630
ALBANY GA,RUS,REMAINING US FOOD,RUS,151620
ALBANY SCHENECTADY TROY,ALB,ALBANY FOOD,ALB,551120
ALBUQUERQUE SANTA FE,RUS,REMAINING US FOOD,WES,710050
ALEXANDRIA LA,RUS,REMAINING US FOOD,RUS,90160
ALPENA,RUS,REMAINING US FOOD,RUS,17100
AMARILLO,WES,WEST TEXAS FOOD,RUS,195650
ANCHORAGE,RUS,REMAINING US FOOD,RUS,155600
ATLANTA,ATL,ATLANTA FOOD,ATL,2292640
AUGUSTA AIKEN,RUS,REMAINING US FOOD,RUS,262560
AUSTIN,RUS,REMAINING US FOOD,RUS,686830
BAKERSFIELD,RUS,REMAINING US FOOD,RUS,221920
BALTIMORE,BAL,BALTIMORE FOOD,BAL,1097310
BANGOR,RUS,REMAINING US FOOD,RUS,141580
BATON ROUGE,NEO,NEW ORLEANS MOBILE FOOD,RUS,333010
BEAUMONT PORT ARTHUR,RUS,REMAINING US FOOD,RUS,168420
BEND OR,POR,PORTLAND FOOD,RUS,62620
BILLINGS,RUS,REMAINING US FOOD,RUS,109940
BILOXI GULFPORT,NEO,NEW ORLEANS MOBILE FOOD,RUS,128150
BINGHAMTON,SYR,SYRACUSE FOOD,RUS,136730
BIRMINGHAM (ANN TUSC),BIR,BIRMINGHAM FOOD,BIR,738790
BLUEFIELD BECKLEY OAK HILL,RUS,REMAINING US FOOD,RUS,137380
BOISE,SAL,SALT LAKE CITY BOISE FOOD,BOI,261810
BOSTON (MANCHESTER),BOS,BOSTON FOOD,BOS,2379690
BOWLING GREEN,NAS,NASHVILLE FOOD,RUS,79990
BUFFALO,BUF,BUFFALO ROCHESTER FOOD,BUF,645190
BURLINGTON PLATTSBURGH,RUS,REMAINING US FOOD,RUS,323750
BUTTE BOZEMAN,RUS,REMAINING US FOOD,RUS,66910
CASPER RIVERTON,RUS,REMAINING US FOOD,RUS,56460
CEDAR RAPIDS WTRLO IWC&DUB,RUS,REMAINING US FOOD,RUS,344150
CHAMPAIGN&SPRNGFLD DECATUR,RUS,REMAINING US FOOD,RUS,386160
CHARLESTON SC,RUS,REMAINING US FOOD,RUS,311260
CHARLESTON HUNTINGTON,RUS,REMAINING US FOOD,RUS,465030
CHARLOTTE,CHA,CHARLOTTE FOOD,CHA,1140900
CHARLOTTESVILLE,RIC,RICHMOND NORFOLK FOOD,RUS,74630
CHATTANOOGA,GRV,GREENVILLE FOOD,RUS,366790
CHEYENNE SCOTTSBLUFF,DEN,DENVER FOOD,RUS,56640
CHICAGO,CHI,CHICAGO FOOD,CHI,3493480
CHICO REDDING,RUS,REMAINING US FOOD,RUS,194590
CINCINNATI,CIN,#N/A,CIN,896090
CLARKSBURG WESTON,RUS,REMAINING US FOOD,RUS,108980
CLEVELAND AKRON (CANTON),CLE,CLEVELAND FOOD,CLE,1514170
COLORADO SPRINGS PUEBLO,DEN,DENVER FOOD,RUS,343160
COLUMBIA SC,GRV,GREENVILLE FOOD,RUS,404830
COLUMBIA JEFFERSON CITY,RUS,REMAINING US FOOD,RUS,176470
COLUMBUS OH,COL,#N/A,COL,932680
COLUMBUS GA (OPELIKA AL),RUS,REMAINING US FOOD,RUS,215410
COLUMBUS TUPELO W PNT HSTN,MEM,MEMPHIS FOOD,RUS,189910
CORPUS CHRISTI,RUS,REMAINING US FOOD,RUS,203550
DALLAS FT  WORTH,DAL,DALLAS/FT. WORTH FOOD,DAL,2571310
DAVENPORT R ISLAND MOLINE,RUS,REMAINING US FOOD,RUS,307050
DAYTON,CIN,#N/A,CIN,493600
DENVER CO,DEN,DENVER FOOD,DEN,1548570
DES MOINES AMES,DES,DES MOINES FOOD,DES,431300
DETROIT,DET,DETROIT FOOD,DET,1842650
DOTHAN,RUS,REMAINING US FOOD,RUS,109080
DULUTH SUPERIOR,RUS,REMAINING US FOOD,RUS,173710
EL PASO (LAS CRUCES),WES,WEST TEXAS FOOD,RUS,336570
ELMIRA (CORNING),SYR,SYRACUSE FOOD,RUS,96600
ERIE,CLE,CLEVELAND FOOD,RUS,157730
EUGENE,POR,PORTLAND FOOD,RUS,241270
EUREKA,RUS,REMAINING US FOOD,RUS,61180
EVANSVILLE,RUS,REMAINING US FOOD,RUS,287880
FAIRBANKS,RUS,REMAINING US FOOD,RUS,37010
FARGO VALLEY CITY,RUS,REMAINING US FOOD,RUS,246780
FLINT SAGINAW BAY CITY,DET,DETROIT FOOD,RUS,451880
FRESNO VISALIA,RUS,REMAINING US FOOD,RUS,574800
FT  MYERS NAPLES,TAM,TAMPA FOOD,RUS,504240
FT  SMITH FAY SPRNGDL RGRS,LIT,LITTLE ROCK FOOD,RUS,301120
FT  WAYNE,RUS,REMAINING US FOOD,RUS,267710
GAINESVILLE,JAC,JACKSONVILLE FOOD,RUS,124730
GLENDIVE,RUS,REMAINING US FOOD,RUS,4180
GRAND JUNCTION MONTROSE,RUS,REMAINING US FOOD,RUS,72970
GRAND RAPIDS KALMZOO B CRK,GRA,GRAND RAPIDS FOOD,GRA,722150
GREAT FALLS,RUS,REMAINING US FOOD,RUS,66190
GREEN BAY APPLETON,SAL,SALT LAKE CITY BOISE FOOD,GRE,445760
GREENSBORO H POINT W SALEM,RAL,RALEIGH DURHAM FOOD,RAL,691200
GREENVILLE N BERN WASHNGTN,GRV,GREENVILLE FOOD,RUS,307610
GREENVLL SPART ASHEVLL AND,RUS,REMAINING US FOOD,SOU,860930
GREENWOOD GREENVILLE,RUS,REMAINING US FOOD,RUS,67730
HARLINGEN WSLCO BRNSVL MCA,RUS,REMAINING US FOOD,RUS,361820
