DMA (as appears in various data files),"""Master"" DMA",Test
Abilene/Sweetwater,Abilene-Sweetwater,1
Abilene-Sweetwater,Abilene-Sweetwater,2
ABILENE-SWEETWATER,Abilene-Sweetwater,3
Abilene-Sweetwater TX,Abilene-Sweetwater,
Albany GA,Albany GA,
ALBANY GA,Albany GA,
Albany GA,Albany GA,
Albany/Schenectady/Troy,Albany-Schenectady-Troy,
Albany-Ga,Albany GA,
Albany-Schenectady-Troy,Albany-Schenectady-Troy,
ALBANY-SCHENECTADY-TROY,Albany-Schenectady-Troy,
Albany-Schenectady-Troy NY,Albany-Schenectady-Troy,
Albuquerque NM,Albuquerque NM,
Albuquerque/Santa Fe,Albuquerque NM,
ALBUQUERQUE-SANTA FE,Albuquerque NM,
Albuquerque-Santa Fe NM,Albuquerque NM,
Alexandria LA,Alexandria LA,
ALEXANDRIA LA,Alexandria LA,
Alexandria LA,Alexandria LA,
Alexandria-La,Alexandria LA,
Alpena,Alpena,
ALPENA,Alpena,
Alpena MI,Alpena,
Amarillo,Amarillo,
AMARILLO,Amarillo,
Amarillo TX,Amarillo,
Anchorage,Anchorage,
ANCHORAGE,Anchorage,
Anchorage AK,Anchorage,
Atlanta,Atlanta,
ATLANTA,Atlanta,
Atlanta GA,Atlanta,
Augusta,Augusta-Aiken,
Augusta GA,Augusta-Aiken,
Augusta-Aiken,Augusta-Aiken,
AUGUSTA-AIKEN,Augusta-Aiken,
Austin,Austin,
AUSTIN,Austin,
Austin TX,Austin,
Austin-Tx,Austin,
Bakersfield,Bakersfield,
BAKERSFIELD,Bakersfield,
Bakersfield CA,Bakersfield,
BALTIMORE,Baltimore MD,
Baltimore MD,Baltimore MD,
Baltimore MD,Baltimore MD,
Bangor,Bangor,
BANGOR,Bangor,
Bangor ME,Bangor,
Baton Rouge,Baton Rouge,
BATON ROUGE,Baton Rouge,
Baton Rouge LA,Baton Rouge,
Beaumont/Port Arthur,Beaumont-Port Arthur,
Beaumont-Port Arthur,Beaumont-Port Arthur,
BEAUMONT-PORT ARTHUR,Beaumont-Port Arthur,
Beaumont-Port Arthur TX,Beaumont-Port Arthur,
Bend OR,Bend OR,
BEND OR,Bend OR,
Bend OR,Bend OR,
Bend-Or,Bend OR,
Billings,Billings,
BILLINGS,Billings,
Billings MT,Billings,
Biloxi/Gulfport,Biloxi-Gulfport,
Biloxi-Gulfport,Biloxi-Gulfport,
BILOXI-GULFPORT,Biloxi-Gulfport,
Biloxi-Gulfport MS,Biloxi-Gulfport,
Binghamton,Binghamton,
BINGHAMTON,Binghamton,
Binghamton NY,Binghamton,
Birmingham,Birmingham AL,
