DMA_name,DMA name Cleanup,DMA ID,
Abilene-Swtwatr,ABILENE-SWEETWATER,662,
"Albany, GA",,525,
Albany-Sch-Troy,ALBANY-SCHENECTADY-TROY,532,
Albuq-Santa Fe,ALBUQUERQUE-SANTA FE,790,
"Alexandria, La",,644,
Alpena,,583,
Amarillo,,634,
Anchorage,,743,
Atlanta,,524,
Augusta,AUGUSTA-AIKEN,520,
Austin,,635,
Bakersfield,,800,
Baltimore,,512,
Bangor,,537,
Baton Rouge,,716,
Beaumnt-Prt Art,BEAUMONT-PORT ARTHUR,692,
"Bend, OR",,821,
Billings,,756,
Biloxi-Gulfport,,746,
Birmingham,BIRMINGHAM (ANN AND TUSC),630,
Blfld-Beckly-OH,BLUEFIELD-BECKLEY-OAK HILL,559,
Boise,,757,
Boston (Manchr),BOSTON (MANCHESTER),506,
Bowling Green,,736,
Buffalo,,514,
Burlngtn-Pltbrg,BURLINGTON-PLATTSBURGH,523,
Butte-Bozeman,,754,
Casper-Riverton,,767,
Cdr Rp-Wa-Ic&Db,CEDAR RAPIDS-WTRLO-IWC&DUB,637,
Champgn&Spr-Dec,CHAMPAIGN&SPRNGFLD-DECATUR,648,
"Charleston, SC",,519,
Charlotte,,517,
Charlottesville,,584,
Charlstn-Huntng,CHARLESTON-HUNTINGTON,564,
Chattanooga,,575,
Chey-Sctts,CHEYENNE-SCOTTSBLUFF,759,
Chicago,,602,
Chico-Redding,,868,
Cincinnati,,515,
Clarksburg-Wstn,CLARKSBURG-WESTON,598,
Clevelnd-Ak(Cn),CLEVELAND-AKRON (CANTON),510,
Colo Sprngs-Pbl,COLORADO SPRINGS-PUEBLO,752,
"Columbia, SC",,546,
Columbia-Jf Cty,COLUMBIA-JEFFERSON CITY,604,
"Columbus, GA","COLUMBUS, GA (OPELIKA, AL)",522,
"Columbus, OH",,535,
Columbus-Tup-Wp,COLUMBUS-TUPELO-W PNT-HSTN,673,
Corpus Christi,,600,
Dallas-Ft.Worth,DALLAS-FT. WORTH,623,
Davnprt-Ri-Mlne,DAVENPORT-R.ISLAND-MOLINE,682,
Dayton,,542,
Denver,,751,
Des MO ines-Ames,DES MOINES-AMES,679,
Detroit,,505,
Dothan,,606,
Duluth-Superior,,676,
